County Name,FRED ID
"Autauga County, AL",27336
"Baldwin County, AL",27337
"Barbour County, AL",27338
"Bibb County, AL",27339
"Blount County, AL",27340
"Bullock County, AL",27341
"Butler County, AL",27342
"Calhoun County, AL",27343
"Chambers County, AL",27344
"Cherokee County, AL",27345
"Chilton County, AL",27346
"Choctaw County, AL",27347
"Clarke County, AL",27348
"Clay County, AL",27349
"Cleburne County, AL",27350
"Coffee County, AL",27351
"Colbert County, AL",27352
"Conecuh County, AL",27353
"Coosa County, AL",27354
"Covington County, AL",27355
"Crenshaw County, AL",27356
"Cullman County, AL",27357
"Dale County, AL",27358
"Dallas County, AL",27359
"De Kalb County, AL",27360
"Elmore County, AL",27361
"Escambia County, AL",27362
"Etowah County, AL",27363
"Fayette County, AL",27364
"Franklin County, AL",27365
"Geneva County, AL",27366
"Greene County, AL",27367
"Hale County, AL",27368
"Henry County, AL",27369
"Houston County, AL",27370
"Jackson County, AL",27371
"Jefferson County, AL",27372
"Lamar County, AL",27373
"Lauderdale County, AL",27374
"Lawrence County, AL",27375
"Lee County, AL",27376
"Limestone County, AL",27377
"Lowndes County, AL",27378
"Macon County, AL",27379
"Madison County, AL",27380
"Marengo County, AL",27381
"Marion County, AL",27382
"Marshall County, AL",27383
"Mobile County, AL",27384
"Monroe County, AL",27385
"Montgomery County, AL",27386
"Morgan County, AL",27387
"Perry County, AL",27388
"Pickens County, AL",27389
"Pike County, AL",27390
"Randolph County, AL",27391
"Russell County, AL",27392
"Shelby County, AL",27393
"St. Clair County, AL",27394
"Sumter County, AL",27395
"Talladega County, AL",27396
"Tallapoosa County, AL",27397
"Tuscaloosa County, AL",27398
"Walker County, AL",27399
"Washington County, AL",27400
"Wilcox County, AL",27401
"Winston County, AL",27402
"Aleutians East Borough, AK",27404
"Aleutian Islands Census Area",33743
"Aleutians West Census Area, AK",27405
"Anchorage Borough/municipality, AK",27406
"Bethel Census Area, AK",27407
"Bristol Bay Borough, AK",27408
"Denali Borough, AK",32079
"Dillingham Census Area, AK",27409
"Fairbanks North Star Borough, AK",27410
"Haines Borough, AK",27411
"Hoonah-Angoon Census Area, AK",33517
"Juneau Borough/city, AK",27412
"Kenai Peninsula Borough, AK",27413
"Ketchikan Gateway Borough, AK",27414
"Kodiak Island Borough, AK",27415
"Kusilvak Census Area, AK",33897
"Lake and Peninsula Borough, AK",27416
"Matanuska-Susitna Borough, AK",27417
"Nome Census Area, AK",27418
"North Slope Borough, AK",27419
"Northwest Arctic Borough, AK",27420
"Petersburg Census Area, AK",33519
"Prince of Wales-Hyder Census Area, AK",33520
"Prince of Wales-Outer Ketchikan Census Area, AK",27421
"Sitka Borough/city, AK",27422
"Skagway-Hoonah-Angoon Census Area, AK",27423
"Skagway Municipality, AK",33516
"Southeast Fairbanks Census Area, AK",27424
"Valdez-Cordova Census Area, AK",27425
"Wade Hampton Census Area, AK",27426
"Wrangell Borough/City, AK",33518
"Wrangell-Petersburg Census Area, AK",27427
"Yakutat City and Borough",32212
"Yukon-Koyukuk Census Area, AK",27428
"Apache County, AZ",27430
"Cochise County, AZ",27431
"Coconino County, AZ",27432
"Gila County, AZ",27433
"Graham County, AZ",27434
"Greenlee County, AZ",27435
"La Paz County, AZ",27436
"Maricopa County, AZ",27437
"Mohave County, AZ",27438
"Navajo County, AZ",27439
"Pima County, AZ",27440
"Pinal County, AZ",27441
"Santa Cruz County, AZ",27442
"Yavapai County, AZ",27443
"Yuma County, AZ",27444
"Arkansas County, AR",798
"Ashley County, AR",796
"Baxter County, AR",794
"Benton County, AR",792
"Boone County, AR",790
"Bradley County, AR",787
"Calhoun County, AR",786
"Carroll County, AR",784
"Chicot County, AR",782
"Clark County, AR",780
"Clay County, AR",778
"Cleburne County, AR",776
"Cleveland County, AR",774
"Columbia County, AR",772
"Conway County, AR",770
"Craighead County, AR",768
"Crawford County, AR",766
"Crittenden County, AR",764
"Cross County, AR",762
"Dallas County, AR",760
"Desha County, AR",758
"Drew County, AR",756
"Faulkner County, AR",754
"Franklin County, AR",752
"Fulton County, AR",750
"Garland County, AR",748
"Grant County, AR",746
"Greene County, AR",744
"Hempstead County, AR",742
"Hot Spring County, AR",740
"Howard County, AR",738
"Independence County, AR",736
"Izard County, AR",734
"Jackson County, AR",732
"Jefferson County, AR",730
"Johnson County, AR",728
"Lafayette County, AR",726
"Lawrence County, AR",724
"Lee County, AR",722
"Lincoln County, AR",720
"Little River County, AR",718
"Logan County, AR",716
"Lonoke County, AR",714
"Madison County, AR",712
"Marion County, AR",710
"Miller County, AR",708
"Mississippi County, AR",706
"Monroe County, AR",704
"Montgomery County, AR",702
"Nevada County, AR",700
"Newton County, AR",698
"Ouachita County, AR",696
"Perry County, AR",693
"Phillips County, AR",691
"Pike County, AR",689
"Poinsett County, AR",687
"Polk County, AR",685
"Pope County, AR",683
"Prairie County, AR",799
"Pulaski County, AR",680
"Randolph County, AR",678
"Saline County, AR",676
"Scott County, AR",674
"Searcy County, AR",672
"Sebastian County, AR",670
"Sevier County, AR",668
"Sharp County, AR",666
"St. Francis County, AR",664
"Stone County, AR",662
"Union County, AR",660
"Van Buren County, AR",658
"Washington County, AR",656
"White County, AR",654
"Woodruff County, AR",652
"Yell County, AR",650
"Alameda County, CA",27522
"Alpine County, CA",27523
"Amador County, CA",27524
"Butte County, CA",27525
"Calaveras County, CA",27526
"Colusa County, CA",27527
"Contra Costa County, CA",27528
"Del Norte County, CA",27529
"El Dorado County, CA",27530
"Fresno County, CA",27531
"Glenn County, CA",27532
"Humboldt County, CA",27533
"Imperial County, CA",27534
"Inyo County, CA",27535
"Kern County, CA",27536
"Kings County, CA",27537
"Lake County, CA",27538
"Lassen County, CA",27539
"Los Angeles County, CA",27540
"Madera County, CA",27541
"Marin County, CA",27542
"Mariposa County, CA",27543
"Mendocino County, CA",27544
"Merced County, CA",27545
"Modoc County, CA",27546
"Mono County, CA",27547
"Monterey County, CA",27548
"Napa County, CA",27549
"Nevada County, CA",27550
"Orange County, CA",27551
"Placer County, CA",27552
"Plumas County, CA",27553
"Riverside County, CA",27554
"Sacramento County, CA",27555
"San Benito County, CA",27556
"San Bernardino County, CA",27557
"San Diego County, CA",27558
"San Francisco County/city, CA",27559
"San Joaquin County, CA",27560
"San Luis Obispo County, CA",27561
"San Mateo County, CA",27562
"Santa Barbara County, CA",27563
"Santa Clara County, CA",27564
"Santa Cruz County, CA",27565
"Shasta County, CA",27566
"Sierra County, CA",27567
"Siskiyou County, CA",27568
"Solano County, CA",27569
"Sonoma County, CA",27570
"Stanislaus County, CA",27571
"Sutter County, CA",27572
"Tehama County, CA",27573
"Trinity County, CA",27574
"Tulare County, CA",27575
"Tuolumne County, CA",27576
"Ventura County, CA",27577
"Yolo County, CA",27578
"Yuba County, CA",27579
"Adams County, CO",27581
"Alamosa County, CO",27582
"Arapahoe County, CO",27583
"Archuleta County, CO",27584
"Baca County, CO",27585
"Bent County, CO",27586
"Boulder County, CO",27587
"Broomfield County/city, CO",32077
"Chaffee County, CO",27588
"Cheyenne County, CO",27589
"Clear Creek County, CO",27590
"Conejos County, CO",27591
"Costilla County, CO",27592
"Crowley County, CO",27593
"Custer County, CO",27594
"Delta County, CO",27595
"Denver County, CO",27596
"Dolores County, CO",27597
"Douglas County, CO",27598
"Eagle County, CO",27599
"Elbert County, CO",27600
"El Paso County, CO",27601
"Fremont County, CO",27602
"Garfield County, CO",27603
"Gilpin County, CO",27604
"Grand County, CO",27605
"Gunnison County, CO",27606
"Hinsdale County, CO",27607
"Huerfano County, CO",27608
"Jackson County, CO",27609
"Jefferson County, CO",27610
"Kiowa County, CO",27611
"Kit Carson County, CO",27612
"Lake County, CO",27613
"La Plata County, CO",27614
"Larimer County, CO",27615
"Las Animas County, CO",27616
"Lincoln County, CO",27617
"Logan County, CO",27618
"Mesa County, CO",27619
"Mineral County, CO",27620
"Moffat County, CO",27621
"Montezuma County, CO",27622
"Montrose County, CO",27623
"Morgan County, CO",27624
"Otero County, CO",27625
"Ouray County, CO",27626
"Park County, CO",27627
"Phillips County, CO",27628
"Pitkin County, CO",27629
"Prowers County, CO",27630
"Pueblo County, CO",27631
"Rio Blanco County, CO",27632
"Rio Grande County, CO",27633
"Routt County, CO",27634
"Saguache County, CO",27635
"San Juan County, CO",27636
"San Miguel County, CO",27637
"Sedgwick County, CO",27638
"Summit County, CO",27639
"Teller County, CO",27640
"Washington County, CO",27641
"Weld County, CO",27642
"Yuma County, CO",27643
"Fairfield County, CT",27645
"Hartford County, CT",27646
"Litchfield County, CT",27647
"Middlesex County, CT",27648
"New Haven County, CT",27649
"New London County, CT",27650
"Tolland County, CT",27651
"Windham County, CT",27652
"Kent County, DE",27654
"New Castle County, DE",27655
"Sussex County, DE",27656
"District of Columbia",33508
"Alachua County, FL",27660
"Baker County, FL",27661
"Bay County, FL",27662
"Bradford County, FL",27663
"Brevard County, FL",27664
"Broward County, FL",27665
"Calhoun County, FL",27666
"Charlotte County, FL",27667
"Citrus County, FL",27668
"Clay County, FL",27669
"Collier County, FL",27670
"Columbia County, FL",27671
"De Soto County, FL",27673
"Dixie County, FL",27674
"Duval County, FL",27675
"Escambia County, FL",27676
"Flagler County, FL",27677
"Franklin County, FL",27678
"Gadsden County, FL",27679
"Gilchrist County, FL",27680
"Glades County, FL",27681
"Gulf County, FL",27682
"Hamilton County, FL",27683
"Hardee County, FL",27684
"Hendry County, FL",27685
"Hernando County, FL",27686
"Highlands County, FL",27687
"Hillsborough County, FL",27688
"Holmes County, FL",27689
"Indian River County, FL",27690
"Jackson County, FL",27691
"Jefferson County, FL",27692
"Lafayette County, FL",27693
"Lake County, FL",27694
"Lee County, FL",27695
"Leon County, FL",27696
"Levy County, FL",27697
"Liberty County, FL",27698
"Madison County, FL",27699
"Manatee County, FL",27700
"Marion County, FL",27701
"Martin County, FL",27702
"Miami-Dade County, FL",32078
"Monroe County, FL",27703
"Nassau County, FL",27704
"Okaloosa County, FL",27705
