State Name,FRED ID
"Alabama",27282
"Alaska",27283
"Arizona",27284
"Arkansas",149
"California",27286
"Colorado",27287
"Connecticut",27288
"Delaware",27289
"District of Columbia",27290
"Florida",27291
"Georgia",27292
"Hawaii",27293
"Idaho",27294
"Illinois",150
"Indiana",151
"Iowa",27297
"Kansas",27298
"Kentucky",152
"Louisiana",27300
"Maine",27301
"Maryland",27302
"Massachusetts",27303
"Michigan",27304
"Minnesota",27305
"Mississippi",153
"Missouri",154
"Montana",27308
"Nebraska",27309
"Nevada",27310
"New Hampshire",27311
"New Jersey",27312
"New Mexico",27313
"New York",27314
"North Carolina",27315
"North Dakota",27316
"Ohio",27317
"Oklahoma",27318
"Oregon",27319
"Pennsylvania",27320
"Puerto Rico",33504
"Rhode Island",27322
"South Carolina",27323
"South Dakota",27324
"Tennessee",193
"Texas",27326
"Utah",27328
"Vermont",27329
"Virgin Islands",33605
"Virginia",27330
"West Virginia",27332
"Washington",27331
"Wisconsin",27333
"Wyoming",27334
